row.num,Taxon,Swamp,NaCihadle
285,Xanthidium_armatum_Ralfs,1,1
286,Actinotaenium_cruciferum_(De_Bary)_Teiling,0,1
287,Actinotaenium_cucurbita_(Ralfs)_Teiling,1,1
288,Actinotaenium_silvae-nigrae_(Rabanus)_Kouwets_et_Coesel,0,0
289,Closterium_cf._abruptum_W._West,0,0
290,Closterium_angustatum_Ralfs,1,0
291,Closterium_attenuatum_Ralfs,1,0
292,Closterium_baillyanum_(Ralfs)_Br_b.,1,0
293,Closterium_calosporum_Wittr.,1,0
294,Closterium_costatum_Ralfs,1,0
295,Closterium_dianae_Ralfs,1,0
296,Closterium_directum_W._Archer,0,1
297,Closterium_gracile_Ralfs,1,0
298,Closterium_juncidum_Ralfs,1,0
299,Closterium_lineatum_Ralfs,1,0
300,Closterium_lunula_Ralfs,1,0
301,Closterium_cf._macilentum_Br_b.,1,0
302,Closterium_navicula_(Br_b.)_Lôtkem.,1,0
303,Closterium_parvulum_N_geli,1,0
304,Closterium_pronum_Br_b.,0,0
305,Closterium_setaceum_Ralfs,1,0
306,Closterium_striolatum_Ralfs,1,1
307,Cosmarium_amoenum_Ralfs,1,0
308,Cosmarium_angulosum_Br_b.,1,0
309,Cosmarium_blyttii_Wille,1,0
310,Cosmarium_contractum_Kirchn.,1,0
311,Cosmarium_difficile_Lôtkem.,0,0
312,Cosmarium_discrepans___astn__et_Kouwets,1,0
313,Cosmarium_goniodes_var._subturgidum_W._et_G._S._West,0,0
314,Cosmarium_margaritiferum_Ralfs,0,0
315,Cosmarium_messikommeri_Coesel,1,0
316,Cosmarium_obsoletum_(Hantzsch)_Reinsch,1,0
317,Cosmarium_ordinatum_(BËrges.)_W._et_G_.S._West,1,0
318,Cosmarium_ornatum_Ralfs,1,0
319,Cosmarium_paragranatoides_Skuja,1,0
320,Cosmarium_prominulum_var._subundulatum_W._et_G._S._West,1,0
321,Cosmarium_pseudoornatum_B._Eichler_et_Gutw.,1,0
322,Cosmarium_pseudopyramidatum__P._Lundell,1,0
